AC0F	EI-KEC	B763
AC10	EI-KGA	A21N
AC11	EI-KGB	A21N
AC12	EI-KGC	A21N
AC13	EI-KGD	A21N
AC14	EI-KGE	A21N
AC15	EI-KGF	A21N
AC16	EI-KGG	A21N
AC17	EI-KHA	E290
AC18	EI-KHB	E290
AC19	EI-KHC	E290
AC1A	EI-KHD	E290
AC1E	EI-HEN	B38M
AC1F	EI-HEZ	B38M
AC20	EI-HGG	B38M
AC23	EI-HGL	B38M
AC24	EI-HGM	B38M
AC28	EI-HBC	CRJX
AC2D	EI-GWA	B772
AC2E	EI-GWB	B772
AC31	EI-GVW	B737
AC34	EI-GWE	B738
AC36	EI-RZD	B38M
AC38	EI-GRM	DA42
AC39	EI-GTX	SKRA
AC44	EI-HHA	HR20
AC45	EI-MAA	A332
AC46	EI-MYY	A332
AC47	EI-GWI	SVNH
AC51	EI-MAE	A333
AC53	EI-HGO	B38M
AC54	EI-HGP	B38M
AC55	EI-HGR	B38M
AC56	EI-HGT	B38M
AC58	EI-GWZ	A359
AC59	EI-GXR	A169
AC5A	EI-GXS	A169
AC5E	EJ-VAIS	PC12
AC5F	EI-BUN	BE76
AC62	EI-AZA	B738
AC63	EI-AZB	B738
AC64	EI-AZC	B738
AC65	EI-AZD	B738
AC66	EI-AZE	B738
AC70	EI-SON	AT72
AC71	EI-GYD	SVNH
AC75	EI-BMN	C152
AC77	EI-GZP	A320
AC79	EI-SIJ	A20N
AC7A	EI-SIK	A20N
AC7B	EI-SIL	A20N
