0B6E	G-TRIN	TB20
0B6F	G-CPMS	TB20
0B70	G-OJAC	M20P
0B72	G-BYZA	AS55
0B75	G-MLBC	C550
0B76	G-AZOL	PA34
0B7E	G-BAKJ	PA30
0B7F	G-BBRA	PA27
0B80	G-BTRK	P28A
0B82	G-DBCD	A319
0B83	G-DBCE	A319
0B84	G-DBCF	A319
0B86	G-RACO	P28R
0B87	G-CBYU	P28A
0B88	G-BHFH	PA34
0B8E	G-AZOG	P28R
0B8F	G-BJHB	M20P
0B90	G-OART	PA27
0B91	G-CRUZ	C303
0B92	G-PSNI	EC35
0B93	G-SAJT	E135
0BA2	G-CDEA	SB20
0BA3	G-BSGT	T210
0BA4	G-XINE	P28A
0BA8	G-CDCV	R44
0BAD	G-BEIP	P28A
0BB2	G-CDEB	SB20
0BB9	G-ORAY	C182
0BBA	G-GDMW	BE76
0BBB	G-GRYZ	BE33
0BBF	G-VMJM	TOBA
0BC1	G-RVRX	P68
0BC3	G-VIPY	PA31
0BC8	G-BNUN	BE58
0BCB	G-EJTC	R44
0BCD	G-HUEW	EUPA
0BD1	G-RVPH	RV8
0BD2	G-EMDM	DA40
0BD3	G-BUJP	P28A
0BD4	G-GHRW	P28T
0BD6	G-EELS	C208
0BD7	G-EZMK	A319
0BDB	G-EZPG	A319
0BDD	G-CCST	P32R
0BDF	G-BXYO	P28T
0BE1	G-JAJK	PA31
0BE2	G-LIDE	PA31
0BE5	G-MEDK	A320
0BE6	G-SAJR	E135
0BE8	G-WERY	TB20
0BE9	G-OBBO	C182
0BEC	G-THSL	P28R
0BEF	G-MULT	BE76
0BF2	G-BCYR	C172
0BF3	G-BHFE	PA44
0BF4	G-BNUO	BE76
0BF5	G-AWFC	P28R
0BF8	G-BEZL	PA31
0BFE	G-RVRE	P68
0BFF	G-RVRJ	PA27
0C01	G-CBTN	PA31
0C04	G-KENZ	VEZE
0C05	G-OWAL	PA34
0C07	G-MPFC	AA5
0C08	G-DMAH	TB20
0C0B	G-BJVH	C182
0C10	G-RVRW	PA27
0C11	G-MAXI	PA34
0C14	G-REDO	AS3B
0C16	G-TREC	C421
0C18	G-OTUI	TB20
0C19	G-DMCS	P28R
0C1F	G-BGHJ	C172
0C21	G-ISAR	C421
0C22	G-OSCC	PA32
0C24	G-POPA	BT36
0C25	G-BVYF	PA31
0C28	G-LIVS	GLIM
0C29	G-OBAL	M20P
0C2A	G-ATHR	P28A
0C2B	G-BTNT	P28A
0C2C	G-CBAL	P28A
0C2D	G-BNMB	P28A
0C2E	G-UAVA	PA30
0C2F	G-KVIP	BE20
0C31	G-DIPM	PA46
0C32	G-HWAA	EC35
0C33	G-BHLX	AA5
0C35	G-SAPM	TB20
0C37	G-ATSR	BE35
0C41	G-EZNM	A319
0C4A	G-EZIH	A319
0C4B	G-EZII	A319
0C51	G-AVNU	P28A
0C55	G-OSEA	BN2P
0C56	G-TERY	P28A
0C58	G-OAUD	R44
0C5F	G-ECJM	P28S
0C62	G-PXMI	A109
0C67	G-NSUK	PA34
0C6F	G-LINN	EUPA
0C72	G-BAVL	PA27
0C73	G-EFBP	C172
0C77	G-CVXT	GLIM
0C79	G-BTFT	BE58
0C7B	G-VIKE	BL17
0C7F	G-BOIC	P28S
0C81	G-BYBP	C185
0C83	G-BZIT	BE55
0C84	G-JLRW	BE76
0C85	G-BOFC	BE76
0C86	G-UMMI	PA31
0C87	G-FANL	C172
0C88	G-BBXK	PA34
0C89	G-ORVR	P68
0C8B	G-HUBB	P68
0C90	G-SCIP	TB20
0C91	G-VALY	TB21
0CA4	G-OHAM	R44
0CA7	G-GCRM	RF6
0CA9	G-FIND	F406
0CAC	G-NOSE	C402
0CAD	G-MIND	C404
0CB0	G-BODY	C310
0CB4	G-WLDN	R44
0CB5	G-RVRB	PA34
0CB6	G-CALL	PA27
0CB7	G-BTZA	BE33
0CBA	G-INAS	P28A
0CBB	G-JREE	M7
0CBC	G-DSID	PA34
0CBD	G-BJCW	P32R
0CBF	G-ELIS	PA34
0CC3	G-AZWY	PA24
0CC5	G-BMJO	PA34
0CC6	G-CIEL	C56X
0CC9	G-REST	BE35
0CCA	G-BRDO	C177
0CCC	G-BJNZ	PA27
0CCD	G-GSPY	R44
0CCE	G-BXGA	AS50
0CD8	G-EZIY	A319
0CDA	G-BYKP	P28U
0CDB	G-EMCA	AC11
0CDC	G-LARE	PA30
0CE1	G-SLCT	DA42
0CE2	G-SELC	DA42
0CE3	G-ROMT	R44
0CE7	G-HOLA	P28A
0CEA	G-EVEE	R44
0CEB	G-EUXI	A321
0CED	G-BTJA	L8
0CEF	G-LGNK	SF34
0CF1	G-CCPJ	EV97
0CF2	G-CDDG	P28A
0CF3	G-RAGT	PA32
0CF4	G-MLLI	P32T
0CF5	G-AZGL	RALL
0CF8	G-XSFT	PA27
0CFA	G-BSPG	PA34
0D01	G-CTCE	DA42
0D02	G-CTCF	DA42
0D03	G-CTCG	DA42
0D04	G-JKMI	DA42
0D09	G-FJMS	P68
0D0C	G-DHMM	PA34
0D0D	G-BCVY	PA34
0D0E	G-OHLI	R44
0D0F	G-WALI	R44
0D11	G-NICI	R44
0D12	G-BNDR	TOBA
0D14	G-GREY	PA46
0D18	G-PDGN	AS65
0D1A	G-BPRJ	AS55
0D1B	G-BVLG	AS55
0D1C	G-NETR	AS55
0D1E	G-PDGI	AS50
0D23	G-CBBC	BDOG
0D24	G-BJEC	BN2T
0D26	G-BWSG	JPRO
0D27	G-LSAB	B752
0D28	G-STOP	R44
