A0E7	SX-HGG	EC35
A149	SX-HJI	B407
A157	SX-HJW	EC30
A167	SX-HKG	EC35
A16D	SX-HKM	AS55
A18C	SX-HLL	B06
A18D	SX-HLM	AS50
A193	SX-HLS	R66
A199	SX-HLY	B505
A1AF	SX-HMO	EC45
A1F4	SX-HOT	R44
A201	SX-HPA	B105
A202	SX-HPB	B105
A203	SX-HPC	B105
A204	SX-HPD	EC35
A205	SX-HPE	EC35
A20C	SX-HPL	R44
A24D	SX-HRM	R66
A269	SX-HSI	B407
A26D	SX-HSM	EC35
A277	SX-HSW	H269
A27A	SX-HSZ	A109
A2C1	SX-HVA	EC20
A2C6	SX-HVF	EC20
A2CA	SX-HVJ	EC30
A353	SX-HZS	EC20
A4D2	SX-IFR	DA40
A5D4	SX-INT	BE20
A5E1	SX-IOA	A20N
A5E2	SX-IOB	A20N
A5E3	SX-IOC	A20N
A5E4	SX-IOD	A20N
A5E7	SX-IOG	A20N
A60F	SK-IPO	AT76
A70C	SX-IXL	C750
A822	SX-JAB	DA40
A9A0	SX-JOY	AT45
AA42	SX-JRB	C56X
AC21	SX-KAA	E170
ACC1	SX-KFA	CL60
AD22	SX-KIB	AAT3
AD61	SX-KKA	E35L
ADA1	SX-KMA	CL60
B1D3	SX-LNS	GLEX
B2B8	SX-LUX	E195
B2E1	SX-LWA	B733
B2E2	SX-LWB	B733
B2E3	SX-LWC	B737
B42D	SX-MAM	B734
B434	SX-MAT	B734
B438	SX-MAX	DA40
B567	SX-MKG	PRM1
B603	SX-MPC	P06T
B690	SX-MTP	E75S
B821	SX-NAA	A21N
B822	SX-NAB	A21N
B823	SX-NAC	A21N
B824	SX-NAD	A21N
B825	SX-NAE	A21N
B826	SX-NAF	A21N
B827	SX-NAG	A21N
B828	SX-NAH	A21N
B82A	SX-NAJ	A21N
B82B	SX-NAK	A21N
B82C	SX-NAL	A21N
B82D	SX-NAM	A21N
B82F	SX-NAO	A21N
B830	SX-NAP	A21N
B831	SX-NAQ	A21N
B832	SX-NAR	A21N
B833	SX-NAS	A21N
B835	SX-NAU	A21N
B836	SX-NAV	A21N
B837	SX-NAW	A21N
B838	SX-NAX	A21N
B83A	SX-NAZ	A21N
B8A1	SX-NEA	A20N
B8A2	SX-NEB	A20N
B8A3	SX-NEC	A20N
B8A4	SX-NED	A20N
B8A5	SX-NEE	A20N
B8A6	SX-NEF	A20N
B8A7	SX-NEG	A20N
B8A8	SX-NEH	A20N
B8A9	SX-NEI	A20N
B8AA	SX-NEJ	A20N
B8AB	SX-NEK	A20N
B8AC	SX-NEL	A20N
B8AD	SX-NEM	A20N
B8AF	SX-NEO	A20N
B8B0	SX-NEP	A20N
B8B1	SX-NEQ	A20N
B8B2	SX-NER	A20N
B8B3	SX-NES	A20N
B8B4	SX-NET	A20N
B8B5	SX-NEU	A20N
B8B6	SX-NEV	A20N
B927	SX-NIG	A20N
B936	SX-NIV	AT75
BA85	SX-NTE	AT76
BC38	SX-OAX	AT46
BC39	SX-OAY	AT46
BC3A	SX-OAZ	AT46
BC41	SX-OBA	DH8D
BC42	SX-OBB	DH8D
BC43	SX-OBC	DH8D
BC44	SX-OBD	DH8D
BC46	SX-OBF	DH8D
BC47	SX-OBG	DH8D
BC49	SX-OBI	AT76
BC4A	SX-OBJ	AT76
BC4B	SX-OBK	AT76
BC4C	SX-OBL	AT76
BC4D	SX-OBM	AT76
BC4E	SX-OBN	AT76
BC4F	SX-OBO	AT76
BC50	SX-OBP	AT76
BC51	SX-OBQ	AT76
BC52	SX-OBR	AT76
BC53	SX-OBS	AT76
BC54	SX-OBT	AT72
BC55	SX-OBU	AT76
BDC5	SX-ONE	AT75
C04E	SX-PBN	P06T
C28D	SX-PTM	E190
C942	SX-RJB	C56X
C9A1	SX-RMA	E195
CC03	SX-SHC	CL60
CC21	SX-SAA	DA42
CC2D	SX-SAM	P28A
CCAD	SX-SEM	LJ35
CCB6	SX-SEV	AT75
CD38	SX-SIX	AT45
CE12	SX-SPR	P06T
CED4	SX-SVT	AT76
D025	SX-TAE	DA40
D0A3	SX-TEC	A20N
D0AD	SX-TEM	AT76
D0AE	SX-TEN	AT45
D0C9	SX-TFI	AT76
D112	SX-THR	AT75
D1C5	SX-TNE	AT76
D1CF	SX-TNO	AT76
D1F9	SX-TOY	C650
D2EF	SX-TWO	AT45
D2F2	SX-TWR	AT76
D441	SX-UBA	JABI
D448	SX-UBH	SVNH
D44A	SX-UBJ	SVNH
D44E	SX-UBN	VL3
D451	SX-UBQ	PIVI
D458	SX-UBX	JAB2
D462	SX-UCB	TEXA
D485	SX-UDE	PIVI
DA6C	SX-VSL	A320
DACE	SX-VVN	GLF6
DACF	SX-VVO	GLF5
DCA2	SX-WEB	A20N
EC47	PN71	H60
EC48	PN72	H60
EC49	PN73	H60
EC4B	PN75	H60
EC4C	PN76	H60
EC4D	PN77	H60
F483	HC-31	AS65
F484	HC-32	AS65
F592	402	BE20	A
F801	AC-4	TB20
FBE9	UC-01	HRON
FBEA	UC-02	HRON
